id,email,encrypted_password,reset_password_token,reset_password_sent_at,remember_created_at,sign_in_count,current_sign_in_at,last_sign_in_at,current_sign_in_ip,last_sign_in_ip,created_at,updated_at,admin,first_name,last_name,team_id
1,student1,studPass1,,,,3,2017-05-29 01:07:36.195595,2017-05-29 00:59:06.547803,127.0.0.1,127.0.0.1,2017-05-29 00:39:50.535069,2017-05-29 01:07:36.196472,t,Noelle,Hall,
2,student2,studPass2,,,,1,2017-05-29 00:42:26.974074,2017-05-29 00:42:26.974074,127.0.0.1,127.0.0.1,2017-05-29 00:42:26.938542,2017-05-29 01:25:13.286023,f,pam,beasly,22
3,student3,studPass3,,,,1,2017-05-29 00:44:29.731927,2017-05-29 00:44:29.731927,127.0.0.1,127.0.0.1,2017-05-29 00:44:29.706583,2017-05-29 01:25:13.302014,f,jim,halpert,21
4,student4,studPass4,,,,1,2017-05-29 00:45:39.099400,2017-05-29 00:45:39.099400,127.0.0.1,127.0.0.1,2017-05-29 00:45:39.077123,2017-05-29 01:25:13.323328,f,dwight,schrute,24
5,student5,studPass5,,,,1,2017-05-29 00:47:16.072940,2017-05-29 00:47:16.072940,127.0.0.1,127.0.0.1,2017-05-29 00:47:16.048013,2017-05-29 01:25:13.265550,f,michael,scott,23
6,student6,studPass6,,,,1,2017-05-29 00:48:45.749588,2017-05-29 00:48:45.749588,127.0.0.1,127.0.0.1,2017-05-29 00:48:45.725926,2017-05-29 01:25:13.254696,f,kevin,malone,21
7,student7,studPass7,,,,1,2017-05-29 00:50:11.377672,2017-05-29 00:50:11.377672,127.0.0.1,127.0.0.1,2017-05-29 00:50:11.350182,2017-05-29 01:25:13.290726,f,oscar,martinez,23
8,student8,studPass8,,,,1,2017-05-29 00:51:12.157108,2017-05-29 00:51:12.157108,127.0.0.1,127.0.0.1,2017-05-29 00:51:12.131478,2017-05-29 01:25:13.307631,f,angela,schrute,22
9,student9,studPass9,,,,1,2017-05-29 00:52:40.494861,2017-05-29 00:52:40.494861,127.0.0.1,127.0.0.1,2017-05-29 00:52:40.474127,2017-05-29 01:25:13.328162,f,phyllis,vance,21
10,student10,studPass10,,,,1,2017-05-29 00:53:36.249537,2017-05-29 00:53:36.249537,127.0.0.1,127.0.0.1,2017-05-29 00:53:36.225044,2017-05-29 01:25:13.271910,f,andy,bernard,24
11,student11,studPass11,,,,1,2017-05-29 00:55:01.488580,2017-05-29 00:55:01.488580,127.0.0.1,127.0.0.1,2017-05-29 00:55:01.464478,2017-05-29 01:25:13.260018,f,stanley,hudson,22
12,student12,studPass12,,,,1,2017-05-29 00:56:38.830474,2017-05-29 00:56:38.830474,127.0.0.1,127.0.0.1,2017-05-29 00:56:38.804529,2017-05-29 01:25:13.295774,f,toby,flenderson,24
13,student13,studPass13,,,,1,2017-05-29 00:57:52.540645,2017-05-29 00:57:52.540645,127.0.0.1,127.0.0.1,2017-05-29 00:57:52.516989,2017-05-29 01:25:13.314440,f,kelly,kapoor,23
14,student14,studPass14,,,,1,2017-05-29 00:58:50.600565,2017-05-29 00:58:50.600565,127.0.0.1,127.0.0.1,2017-05-29 00:58:50.578324,2017-05-29 01:25:13.339137,f,ryan,howard,22
15,student15,studPass15,,,,1,2017-05-29 01:00:33.763882,2017-05-29 01:00:33.763882,127.0.0.1,127.0.0.1,2017-05-29 01:00:33.740291,2017-05-29 01:25:13.279077,f,holly,flax,21
16,student16,studPass16,,,,0,,,,,,,f,,,
17,student17,studPass17,,,,0,,,,,,,f,,,
18,student18,studPass18,,,,0,,,,,,,f,,,
19,student19,studPass19,,,,0,,,,,,,f,,,
20,student20,studPass20,,,,0,,,,,,,f,,,
21,student21,studPass21,,,,0,,,,,,,f,,,
22,student22,studPass22,,,,0,,,,,,,f,,,
23,student23,studPass23,,,,0,,,,,,,f,,,
24,student24,studPass24,,,,0,,,,,,,f,,,
25,student25,studPass25,,,,0,,,,,,,f,,,
26,student26,studPass26,,,,0,,,,,,,f,,,
27,student27,studPass27,,,,0,,,,,,,f,,,
28,student28,studPass28,,,,0,,,,,,,f,,,
29,student29,studPass29,,,,0,,,,,,,f,,,
30,student30,studPass30,,,,0,,,,,,,f,,,
